DOI,Meta.analysis.significant,O.within.CI.R,P.value.R,WOS_in-deg,WOS_out-deg,in-deg,out-deg,page_rank,betweennesss_centrality,normalized_betweennesss_centrality,clustering_coefficient,constraint
10.1037/0022-3514.94.1.168,,,,506,108,494,104,0.13612085545595548,47813.97658730157,0.13393045659541175,0.009316370032996645,0.012599495079465107
10.1111/j.1467-9280.2008.02045.x,1.0,0.0,0.0,296,27,284,22,0.14952963143891013,5790.021042846041,0.06203815539318591,0.031039689387402935,0.017195292315696307
10.1037/0022-3514.94.4.672,1.0,0.0,0.0,331,192,313,199,0.043995564603687656,48988.84980009673,0.18724334102899007,0.032985261741682974,0.009806593410500332
10.1037/0022-3514.94.3.365,,,,237,77,288,85,0.07610232592785704,20989.063467088465,0.1512659882606047,0.028997478480132163,0.014292092710453383
10.1037/0022-3514.94.4.615,0.0,0.0,0.0,295,63,244,67,0.09321459048640347,14247.973412698413,0.14778522365624328,0.028461777823877193,0.014330119141113417
10.1111/j.1467-9280.2008.02227.x,0.0,0.0,0.0,236,17,243,16,0.1008242239451005,2708.6892857142866,0.040535890660475395,0.03651492023585047,0.02921593567171537
10.1111/j.1467-9280.2008.02096.x,,,,283,33,272,30,0.14314180818181413,7162.937301587301,0.07879845659707488,0.017601372907086753,0.015848121935060657
10.1111/j.1467-9280.2008.02043.x,1.0,1.0,1.0,327,36,354,36,0.04357971132730761,5884.979614212403,0.03879098025319625,0.06304826014364084,0.014965908863047873
10.1037/0022-3514.94.2.292,,,,314,51,214,56,0.07865362646882527,9595.806421356412,0.13211904751970827,0.03761531047776401,0.017880122889060643
10.1037/0022-3514.94.5.739,,,,386,123,380,128,0.05495259250469883,35039.98326395826,0.13604801776684783,0.027208020519057307,0.012034160518119268
10.1111/j.1467-9280.2008.02091.x,,,,304,36,296,33,0.10508186411903922,8118.518221076311,0.07523276578208458,0.03313811253614056,0.0174693813317177
10.1111/j.1467-9280.2008.02136.x,1.0,1.0,1.0,138,13,110,10,0.19465021302160557,931.1500000000002,0.06520658263305323,0.03305322128851541,0.02981656718257216
10.1111/j.1467-9280.2008.02056.x,,0.0,0.0,233,39,174,26,0.12858527910158937,3851.9500000000003,0.09678266331658292,0.03,0.022249181113715853
10.1037/0022-3514.94.4.718,,0.0,,211,69,226,71,0.09933980570814953,13839.847619047625,0.15742842409509084,0.024024024024024024,0.014374768351779615
10.1037/0022-3514.94.2.245,0.0,1.0,0.0,208,72,247,74,0.06221740220322259,13941.888569763578,0.1357271083505021,0.04073263539756708,0.015522482013210505
10.1111/j.1467-9280.2008.02079.x,,,,180,25,160,23,0.1203669807220913,2995.617857142857,0.08994228839076614,0.03374767309193539,0.024368205236359727
10.1037/0278-7393.34.2.302,,0.0,0.0,192,60,221,63,0.06148597920573195,11509.09446237887,0.14319781095877754,0.05362564077041756,0.017866852205698523
10.1111/j.1467-9280.2008.02084.x,,0.0,0.0,192,35,197,29,0.12252740896994356,4799.3,0.09438151425762045,0.027728613569321534,0.020200344143710056
10.1037/0022-3514.94.1.133,,,,169,58,201,64,0.07914124820690772,11151.911904761906,0.1594041152767568,0.02750142938822184,0.01771042609492518
10.1111/j.1467-9280.2008.02064.x,1.0,1.0,1.0,167,16,175,18,0.0775320866873183,1485.3457240199884,0.040083811636981555,0.09952504317789292,0.024260666011794968
10.1037/0022-3514.94.2.278,,,,188,63,204,66,0.09244894254449361,11898.211904761907,0.16381952230155455,0.025857083849648906,0.01591925356962049
10.1111/j.1467-9280.2008.02068.x,,,,197,28,223,27,0.11196024259410416,5114.119047619051,0.08215452285331809,0.024642570281124498,0.021449715109317757
10.1111/j.1467-9280.2008.02081.x,1.0,0.0,0.0,190,21,193,60,0.07456686282665721,7184.415057573147,0.11268610103477551,0.04771390627964333,0.02218069763291832
10.1111/j.1467-9280.2008.02038.x,,,,170,17,206,17,0.09750271067751719,2710.1739177489176,0.0547443525582539,0.042782693006908255,0.027967116729018825
10.1111/j.1467-9280.2008.02077.x,0.0,0.0,0.0,166,19,170,20,0.0828621966223793,2569.555852480853,0.07155544005794634,0.053077137287663605,0.028634217336839414
10.1111/j.1467-9280.2008.02099.x,,,,198,35,209,30,0.09992358656776407,4937.377380952381,0.08680034775416443,0.030308357652684505,0.018660805185269032
10.1037/0278-7393.34.3.495,1.0,1.0,1.0,65,51,58,55,0.04979793108743547,1980.1111471861466,0.15645631693948692,0.125,0.03523154800925002
10.1111/j.1467-9280.2008.02080.x,1.0,1.0,1.0,55,40,48,40,0.08000256987372373,1574.7761904761903,0.20569176991590782,0.06655974338412189,0.045057004857709616
10.1037/0022-3514.94.4.600,1.0,0.0,0.0,89,63,97,64,0.05876994764033738,4648.078598667415,0.18043783379920086,0.07748447204968945,0.026419416670116574
10.1111/j.1467-9280.2008.02063.x,,,,75,38,78,38,0.06959974293478145,2227.707142857142,0.16699453844506312,0.07841079460269866,0.03638713074186506
10.1037/0278-7393.34.1.80,1.0,1.0,1.0,68,71,62,74,0.050529369224340995,3794.7797619047633,0.20668735086627252,0.058061002178649235,0.02751811699163377
10.1037/a0012518,,,,86,69,93,68,0.03783348094978639,3999.4327171796217,0.1552574812569729,0.09536163522012578,0.029315839125426943
10.1037/0022-3514.94.2.307,,,,56,60,68,61,0.08060062377499638,3682.5325396825397,0.2230215927617817,0.04154554263565891,0.026603518673735067
10.1111/j.1467-9280.2008.02052.x,0.0,0.0,0.0,69,24,67,24,0.09142615084656285,1262.55,0.15415750915750914,0.06862026862026863,0.04192295077511278
10.1037/0022-3514.94.4.696,0.0,0.0,0.0,59,125,79,122,0.02255068922107316,7137.670209773886,0.17755398531775837,0.07492537313432836,0.02090353655616857
10.1111/j.1467-9280.2008.02066.x,0.0,0.0,0.0,67,20,46,0,0.3500862825259,0.0,0.0,0.06183574879227053,0.06205049604999872
10.1037/0278-7393.34.1.167,,,0.0,49,58,44,57,0.037567874088924924,1773.1738095238095,0.17556176331918905,0.09128712871287128,0.040187803035234344
10.1111/j.1467-9280.2008.02074.x,,,,40,35,25,0,0.3663862895834948,0.0,0.0,0.08,0.1070822098765432
10.1037/0022-3514.94.4.647,,,1.0,79,89,88,95,0.037271491553479114,6235.525432900433,0.1872192827989081,0.058668107848435715,0.022651651141071615
10.1111/j.1467-9280.2008.02058.x,,,,50,41,39,37,0.04849010192228098,881.2347222222221,0.15460258284600387,0.15228070175438596,0.04995770780251763
10.1037/0022-3514.94.2.94.2.231,0.0,1.0,1.0,52,45,45,44,0.058302220626234184,1166.9528138528135,0.148998061012872,0.12895812053115424,0.04373214123086433
10.1037/0022-3514.94.4.560,1.0,1.0,0.0,33,76,33,80,0.03694789019132547,2258.2190476190476,0.17843070856661247,0.060998735777496836,0.030888401670084425
10.1037/0278-7393.34.1.230,1.0,0.0,0.0,39,26,49,28,0.0620210644468934,884.6420634920635,0.15116918378196573,0.1367053998632946,0.05077528528663715
10.1111/j.1467-9280.2008.02076.x,1.0,0.0,1.0,65,28,70,27,0.05520103779393124,1187.0384920634922,0.12747406486936128,0.11748281786941582,0.04280270928733445
10.1111/j.1467-9280.2008.02057.x,1.0,1.0,1.0,62,17,39,18,0.09543684854377886,493.4785714285714,0.1545985499462943,0.12969924812030076,0.06648429977046806
10.1111/j.1467-9280.2008.02040.x,0.0,0.0,0.0,40,10,31,10,0.07299177324926155,138.74126984126985,0.08459833526906699,0.20365853658536587,0.099398238586123
10.1037/0278-7393.34.3.478,0.0,0.0,0.0,68,89,62,93,0.03580959708461806,4114.024732103409,0.17235126653135355,0.09694176790950985,0.02587762162202131
10.1037/0278-7393.34.2.343,1.0,1.0,1.0,28,47,23,45,0.06023967765412498,942.0,0.2067603160667252,0.05092186128182616,0.04401251268790841
10.1037/0022-3514.94.1.48,1.0,0.0,0.0,44,35,26,1,0.28405015621457635,19.833333333333336,0.02825261158594492,0.056980056980056974,0.08028730376467
10.1037/0278-7393.34.1.32,,,,40,93,37,89,0.028170522633572833,2350.611482961484,0.14924517352136407,0.09422222222222223,0.031713514124664235
10.1037/0022-3514.94.3.396,,1.0,0.0,25,75,22,74,0.03077153815263731,1367.945573870574,0.14999403222265065,0.08092105263157895,0.035352505660868505
10.1111/j.1467-9280.2008.02086.x,,,,32,25,28,0,0.3425927904704552,0.0,0.0,0.11375661375661376,0.10301691585553345
10.1111/j.1467-9280.2008.02092.x,1.0,0.0,0.0,44,23,49,24,0.09094867249235693,843.5095238095237,0.1604850692179459,0.09969558599695587,0.050157861491526755
10.1037/0278-7393.34.1.237,1.0,0.0,0.0,44,18,39,20,0.06177483189465017,455.7992063492064,0.13319672891560677,0.19286966686148452,0.061212613550392064
10.1037/0022-3514.94.2.347,,,,40,84,55,81,0.04043406951468548,3055.660928369018,0.16643033378916222,0.09934640522875818,0.02953666508721883
10.1111/j.1467-9280.2008.02042.x,1.0,1.0,1.0,65,32,64,30,0.09780909164778058,1637.9761904761901,0.1873685873342702,0.07092198581560284,0.03773444410778924
10.1111/j.1467-9280.2008.02037.x,,,,44,29,38,27,0.10014459378984204,838.1500000000001,0.20147836538461542,0.06586538461538462,0.05828912069781801
10.1111/j.1467-9280.2008.02088.x,,1.0,,183,19,208,21,0.12766803683920486,3406.7857142857133,0.06524909435159951,0.03141040373860415,0.01856114312501343
10.1037/0278-7393.34.2.369,1.0,1.0,0.0,164,57,160,54,0.03480332823431885,5365.282811047106,0.11770617373189211,0.09929358079943837,0.02203042347303407
10.1037/0022-3514.94.1.116,0.0,0.0,0.0,212,53,171,57,0.10263639486981208,8301.15476190476,0.1603901917054015,0.032498647499806785,0.018197794477988385
10.1111/j.1467-9280.2008.02098.x,1.0,0.0,1.0,199,22,164,22,0.06677035835498575,2235.2011117966995,0.06495789339717231,0.08259226968904389,0.02773248750209856
10.1111/j.1467-9280.2008.02067.x,,,,101,34,60,41,0.06766512915120501,1770.8781746031746,0.17533447273298758,0.10594059405940595,0.037597558171217293
10.1037/0022-3514.94.2.334,,,,104,39,102,38,0.08609584191379756,3079.386904761905,0.15824187588704547,0.0526207605344296,0.02989589057508956
10.1037/0022-3514.94.1.91,1.0,0.0,0.0,171,53,163,52,0.08652275378415596,7092.3666666666695,0.15414837354198369,0.038339491414909804,0.019864581978912305
10.1037/0022-3514.94.1.60,0.0,0.0,0.0,132,68,132,69,0.04346188048967306,5812.093406593409,0.14457943797496042,0.07711442786069651,0.02273867050976594
10.1111/j.1467-9280.2008.02054.x,1.0,1.0,0.0,157,8,157,8,0.14097321284214478,909.1563492063493,0.03359779560999074,0.05291943828529195,0.030826266523785343
10.1111/j.1467-9280.2008.02075.x,,,,160,39,114,31,0.09976392671858283,2989.8023809523816,0.14318976920270027,0.0510536398467433,0.02989909373213058
10.1037/0022-3514.94.1.16,1.0,0.0,1.0,172,42,183,44,0.06214878414681548,5622.290916436505,0.10959204156634253,0.056007866273352996,0.0255579734991246
10.1037/0278-7393.34.1.65,1.0,1.0,1.0,67,42,53,42,0.0578536247629355,1698.2380952380952,0.1901722391084093,0.08824188129899216,0.038869166930177904
10.1111/j.1467-9280.2008.02050.x,,1.0,1.0,33,23,31,24,0.057668083286493456,459.25952380952384,0.15463283629950297,0.1616161616161616,0.06746669384582288
10.1111/j.1467-9280.2008.02070.x,1.0,1.0,0.0,17,25,13,23,0.04189092455910247,183.4595238095238,0.14560279667422524,0.22857142857142856,0.0955578938959451
10.1037/0022-3514.95.2.420,0.0,0.0,0.0,36,93,43,96,0.030871332524589224,3354.154834054835,0.174859495050299,0.06307997080596392,0.02743614635357906
10.1037/0022-3514.94.1.146,,,,47,63,56,64,0.05579796919983099,2365.41853187662,0.1656455554535448,0.10448179271708684,0.03360045368661554
10.1037/0022-3514.94.5.871,,1.0,1.0,21,40,21,37,0.07888853667086239,688.25,0.20818209316394434,0.05989110707803993,0.054585927818687235
10.1037/0278-7393.34.2.430,1.0,1.0,1.0,36,23,29,22,0.06021742001185411,367.31190476190477,0.1440438842203548,0.16627450980392158,0.075422260470973
10.1037/0278-7393.34.2.353,1.0,0.0,0.0,58,54,54,54,0.02323418867228711,1706.7576839826838,0.14769450363297715,0.15472481827622017,0.03734748607010548
10.1037/0022-3514.95.2.274,1.0,1.0,1.0,39,82,41,80,0.036394116940276604,2602.7400904650904,0.1792520723460806,0.08907563025210084,0.031352756536036336
10.1111/j.1467-9280.2008.02072.x,,0.0,0.0,36,10,40,7,0.20698693422964237,245.66666666666669,0.11362935553499846,0.05735430157261794,0.06107266331326723
10.1111/j.1467-9280.2008.02049.x,1.0,0.0,0.0,36,25,28,25,0.10391505822687344,528.6166666666666,0.19180575713594578,0.09200603318250378,0.07377131669285279
10.1111/j.1467-9280.2008.02078.x,1.0,1.0,0.0,41,40,52,38,0.07977554697026133,1696.5595238095236,0.21180518399619522,0.06896551724137931,0.04045393633091284
10.1037/0022-3514.94.2.94.2.196,1.0,0.0,0.0,37,68,27,63,0.045788961379335885,1434.3999999999999,0.17907615480649186,0.07815230961298378,0.03875360812816084
10.1111/j.1467-9280.2008.02055.x,,,,34,9,39,9,0.17654066374643423,291.2,0.12907801418439716,0.05939716312056737,0.06281697779098779
10.1037/0278-7393.34.2.313,,,,37,22,34,9,0.1608500856198485,229.4166666666667,0.12703026947212998,0.11295681063122924,0.08212765012577679
10.1037/0278-7393.34.1.97,1.0,1.0,1.0,42,58,38,62,0.03247640322851791,1470.0734126984123,0.14849226390893053,0.1294949494949495,0.03913653330293073
10.1037/0278-7393.34.1.186,,1.0,1.0,32,48,29,49,0.053017761980966936,1095.0333333333333,0.18232323232323233,0.08225108225108224,0.046266187183269795
10.1111/j.1467-9280.2008.02083.x,,,,31,32,35,28,0.0631046467154473,711.1166666666666,0.1820575183478409,0.12032770097286226,0.06145952907642165
10.1037/0278-7393.34.2.257,,,,20,39,20,38,0.03233626322040257,593.7634920634921,0.17960178223336118,0.13127646702964307,0.06348007024851547
10.1037/0278-7393.34.2.282,,,,36,94,32,6,0.27192492064611373,187.5,0.13335704125177808,0.031294452347083924,0.05299797504412661
10.1111/j.1467-9280.2008.02094.x,,,,209,40,208,38,0.09742270196520164,6346.564682539681,0.10530221806105328,0.028936452629832424,0.018377341605059317
10.1037/0022-3514.94.3.516,,,0.0,108,80,138,76,0.048719168837743666,7371.742252192255,0.16172485306024867,0.06987136086662153,0.020049478098488307
10.1037/0022-3514.95.1.76,,0.0,0.0,122,42,118,37,0.1382591785043,3938.1000000000004,0.1649811478843737,0.02958376332989336,0.025958225740435607
10.1037/0022-3514.94.1.75,,,,128,53,130,50,0.062112230754368856,4162.6488677988655,0.1291945644878605,0.06933581626319056,0.024989794878032347
10.1111/j.1467-9280.2008.02061.x,,,,163,40,179,43,0.08273543742540626,6120.486111111109,0.12475003283826808,0.04170233581998288,0.017471333075318844
10.1111/j.1467-9280.2008.02085.x,1.0,1.0,,101,28,101,29,0.08655478566441954,2189.2663059163056,0.13054658950007786,0.06487775790101372,0.033664823679583004
10.1111/j.1467-9280.2008.02041.x,1.0,1.0,1.0,118,19,101,19,0.1083983061005201,1454.8952380952383,0.10188342003468055,0.06148459383753501,0.03990773510564084
10.1111/j.1467-9280.2008.02073.x,,,,113,8,92,4,0.16109485981266647,264.15238095238107,0.028964076858813713,0.06710526315789474,0.04192118392522052
10.1111/j.1467-9280.2008.02065.x,,,,88,38,90,33,0.05642155412068465,1945.0893578643577,0.1296207755474049,0.0902305744368919,0.0360185420343809
10.1037/0278-7393.34.3.439,1.0,1.0,0.0,21,29,19,28,0.04916876404309549,334.5011904761905,0.15471840447557378,0.16135265700483092,0.0816557795973587
10.1037/0278-7393.34.1.1,,,,25,38,29,41,0.02795507451397712,702.7380952380953,0.14549442965592035,0.17474120082815733,0.05584400331374549
10.1037/0022-3514.94.1.32,,,,,,23,74,0.056258343808000266,1393.2333333333331,0.149616981672394,0.03715635738831615,0.04923460211634103
10.1111/j.1467-9280.2008.02089.x,1.0,0.0,1.0,35,10,33,11,0.13556411450854736,286.16666666666663,0.15125088090204367,0.09408033826638479,0.07504075262259784
10.1111/j.1467-9280.2008.02095.x,1.0,0.0,1.0,24,19,24,18,0.09439110574577685,345.1666666666667,0.20044521873790166,0.08943089430894309,0.0787994580810226
10.1037/0278-7393.34.2.408,0.0,0.0,0.0,26,23,27,22,0.03901529915579539,252.0362193362193,0.1071582565205014,0.2423469387755102,0.08190796476084995
10.1111/j.1467-9280.2008.02069.x,1.0,0.0,0.0,21,19,17,18,0.12828563389430275,272.6166666666667,0.22908963585434175,0.07226890756302522,0.07418704847774332
10.1037/0278-7393.34.3.460,1.0,0.0,0.0,19,65,17,71,0.022030948818365807,974.4444444444445,0.12727853245094625,0.09665621734587251,0.04219064604171123
10.1037/0022-3514.94.3.479,,,,14,53,17,50,0.037980306536092086,587.8944444444446,0.1329476355595759,0.10900045228403438,0.05174654492979255
10.1111/j.1467-9280.2008.02062.x,,1.0,0.0,118,26,110,25,0.0959063010502966,2137.1607142857138,0.11814044855089628,0.05296824149927056,0.03210204521563813
10.1037/0278-7393.34.3.514,1.0,1.0,1.0,170,18,157,18,0.045903486437608214,1115.3634176738815,0.03662934048190087,0.12446633825944171,0.028899123564072635
10.1111/j.1467-9280.2008.02100.x,1.0,1.0,1.0,148,38,123,35,0.10199695197136954,3290.288492063492,0.13264083254307393,0.052084173183907116,0.028555597209784928
10.1111/j.1467-9280.2008.02036.x,,,,107,22,96,18,0.16343413841676296,1556.9563492063485,0.12086293659418945,0.07017543859649122,0.029610217600147763
10.1111/j.1467-9280.2008.02053.x,1.0,1.0,0.0,197,30,205,29,0.05809156978743156,3083.9270886964787,0.05656298537648066,0.07721653644400425,0.021365015629403603
10.1037/0022-3514.94.1.158,0.0,0.0,0.0,111,43,100,40,0.0754242494658177,3164.520634920636,0.16261668216447256,0.05642343268242549,0.02952365423540264
10.1037/0278-7393.34.1.249,0.0,0.0,0.0,76,34,74,36,0.03903767792414613,1378.466533466534,0.11496801780371425,0.14814814814814814,0.040007429431732626
10.1037/0278-7393.34.1.128,1.0,1.0,1.0,24,80,26,80,0.020119707415789778,1244.1679292929298,0.11178507900206018,0.13908355795148247,0.03774789939182819
10.1111/j.1467-9280.2008.02093.x,0.0,0.0,0.0,32,31,31,35,0.08318046163061797,935.2833333333334,0.21801476301476302,0.05641025641025641,0.05119886836705218
10.1037/0278-7393.34.2.422,,,,20,24,20,23,0.07821548053583802,298.58333333333337,0.16532853451458104,0.15171650055370986,0.08301617057433532
10.1037/0278-7393.34.3.524,,,1.0,19,30,18,29,0.038737210172622494,302.0361111111111,0.1397021790523178,0.18963922294172064,0.07567236016670748
10.1037/0278-7393.34.1.50,1.0,1.0,0.0,17,43,16,40,0.02457965764485981,391.6015873015873,0.12714337250051536,0.2051948051948052,0.06900330178360337
10.1037/0278-7393.34.2.415,,,,7,10,5,10,0.08317525803029871,31.80952380952381,0.15147392290249434,0.2857142857142857,0.18595532249937008
10.1037/0022-3514.94.3.429,0.0,0.0,0.0,128,89,152,93,0.04705340693429451,9804.476717155401,0.1640093127660656,0.05670792907326865,0.019848458901600956
10.1111/j.1467-9280.2008.02082.x,,,,118,31,133,30,0.14580566459134908,3503.9833333333327,0.13269648312252263,0.02969022191926077,0.020590326003824162
10.1037/0022-3514.94.4.579,,0.0,0.0,126,112,123,113,0.0416739209429251,10576.188167388163,0.19069938996372454,0.05371885797417712,0.0192249999752542
10.1037/0022-3514.94.2.94.2.265,,,,93,51,92,55,0.1042813874696002,4616.560714285716,0.21510393785694326,0.03196347031963471,0.023336175927290644
10.1037/0278-7393.34.2.381,,,,10,64,12,65,0.021853556475108553,499.42619047619047,0.08534282133906194,0.0831578947368421,0.05167998041745007
10.1111/j.1467-9280.2008.02044.x,1.0,0.0,0.0,9,16,9,15,0.06683577621158505,101.97619047619048,0.18473947550034509,0.15579710144927536,0.12493979180338678
10.1037/0278-7393.34.1.219,1.0,0.0,0.0,17,38,19,39,0.036996105453487714,571.6583333333334,0.1729154063319218,0.1222020568663037,0.05751650493031304
10.1037/0278-7393.34.3.533,,,,11,35,11,38,0.023324390812334797,252.33690476190475,0.10728609896339487,0.17687074829931973,0.08041002427200397
10.1037/0022-3514.94.4.631,,,,94,85,112,79,0.054172227398679336,6864.018362193364,0.18914352058951125,0.05544227059796087,0.02229221113829399
10.1111/j.1467-9280.2008.02051.x,1.0,1.0,0.0,105,21,103,21,0.09676923084668423,1656.3453102453107,0.10859856479447355,0.06608969315499606,0.035174082518179044
10.1037/0278-7393.34.1.12,,,,105,115,94,113,0.044230258561104845,8961.770970695967,0.21016300761446383,0.049106514703813144,0.019147359803288515
10.1111/j.1467-9280.2008.02059.x,,,,99,29,85,27,0.061585196366845195,1429.183797635114,0.11496008668236116,0.11908271908271909,0.03834513628366197
10.1037/0278-7393.34.1.204,1.0,1.0,1.0,10,42,7,44,0.01900048274809761,133.00876623376624,0.0521603004838299,0.2988235294117647,0.07500133967528778
10.1037/0278-7393.34.1.243,,1.0,0.0,18,37,13,35,0.030183926704475162,263.375,0.11674423758865249,0.211840888066605,0.07251135669431444
10.1111/j.1467-9280.2008.02090.x,,,,85,21,87,21,0.10333993217591757,1398.560714285714,0.12102463778865646,0.06365720331511197,0.04395013544570046
10.1037/0022-3514.94.3.495,0.0,0.0,0.0,70,78,92,72,0.05410065714654806,5413.238131313131,0.20250030417900386,0.057085141403561274,0.02432839333995846
10.1037/0022-3514.94.3.382,,1.0,0.0,81,65,87,64,0.04548667093658325,4196.709967809968,0.1852852082918308,0.07920529801324504,0.027806111603669942
10.1111/j.1467-9280.2008.02060.x,0.0,0.0,0.0,20,19,18,21,0.08120737851326279,314.5,0.2122132253711201,0.09716599190283401,0.07876592828354029
10.1037/0022-3514.94.1.1,,1.0,0.0,93,86,100,98,0.03823687482824568,7218.711915861918,0.18506670552894217,0.06629749269343178,0.022457892823256574
10.1111/j.1467-9280.2008.02046.x,,1.0,1.0,53,18,53,18,0.04429035545715789,365.79531024531025,0.07360066604533405,0.20482897384305834,0.0608759586721543
10.1037/0022-3514.94.3.412,,,,79,63,86,55,0.08725138899079457,4050.8131673881667,0.20520836714225768,0.04630192502532928,0.030248628587689574
10.1037/0022-3514.94.2.94.2.214,,,,96,68,105,64,0.06905431783655405,5006.025937950938,0.17631818603659263,0.056173367550613064,0.026599628002381137
10.1037/0022-3514.94.1.108,,,,9,56,8,57,0.023881741682924725,371.7,0.08935096153846153,0.06442307692307692,0.04809049784666781
10.1037/0278-7393.34.1.146,1.0,0.0,0.0,8,45,8,2,0.2530681371575821,11.5,0.12777777777777777,0.1111111111111111,0.21015555555555554
10.1111/j.1467-9280.2008.02048.x,,,,10,40,13,40,0.04290880478716223,444.5,0.1612844702467344,0.11320754716981131,0.06509716391141969
10.1037/0278-7393.34.2.328,,,,88,47,85,46,0.0331103468562148,2323.561397344484,0.13643930694917697,0.14001937984496124,0.03430566360912559
10.1037/0278-7393.34.2.399,1.0,1.0,1.0,83,45,77,44,0.054162868526230444,2505.635714285713,0.17256444313262487,0.08608815426997246,0.03445966408355107
10.1037/0022-3514.95.2.293,0.0,0.0,0.0,72,60,56,56,0.08290239785889619,2685.6916666666657,0.21603053946803938,0.04987129987129987,0.031743377425474235
10.1037/0022-3514.94.3.460,,,,91,67,97,68,0.07620665398590123,5542.551190476191,0.20482450814767889,0.04124168514412417,0.022870780189339714
10.1037/0022-3514.95.2.385,,,,98,88,113,95,0.09055537010213571,9570.999603174601,0.22229188970583894,0.032329988851727984,0.017408827698235815
10.1037/0022-3514.94.3.531,,,,91,60,106,64,0.04718011332177269,4544.912745587744,0.15819396956448814,0.07267664462234598,0.02663741193413199
10.1037/0022-3514.94.6.1062,,,,74,60,80,7,0.23477934036088255,513.9166666666665,0.0686870711930856,0.030473135525260625,0.03287235520309004
10.1111/j.1467-9280.2008.02071.x,,,,69,21,70,21,0.05740390585703926,799.8043650793649,0.09765621063240108,0.13040293040293038,0.052215387209657925
10.1111/j.1467-9280.2008.02097.x,,,,38,39,53,36,0.13363199256243782,1741.9,0.22240806945863126,0.04111338100102145,0.033972666834525295
